age,mom-min,mom-max,mf-min,mf-max,ff-min,ff-max,mfullsib-min,mfullsib-max,ffullsib-min,ffullsib-max,mnonsib-min,mnonsib-max,fnonsib-min,fnonsib-max,grdoe-min,grdoe-max,ndoe-min,ndoe-max,nbuck-min,nbuck-max
3 mo,60,90,0,0,0,0,60,90,60,90,0,0,0,0,5,10,0,0,0,0
4-6 mo male,10,20,0,0,0,0,30,50,30,50,10,20,5,10,5,10,0,0,0,0
4-6 mo female,20,30,0,0,0,0,30,50,30,50,5,10,20,30,10,20,0,0,0,0
7-8 mo male,0,5,0,0,0,0,10,20,0,5,10,20,0,5,0,5,0,0,0,0
7-8 mo female,5,10,0,0,0,0,0,5,10,20,0,5,10,20,0,5,0,0,0,0
9-12 mo male,5,10,0,0,0,0,10,20,5,10,10,20,5,10,0,5,0,0,0,0
9-12 mo female,10,20,0,0,0,0,5,10,10,20,5,10,10,20,5,10,0,5,0,0
13-14 mo male,0,0,0,0,0,0,10,20,5,10,10,20,5,10,0,0,5,10,0,0
13-14 mo female nf,0,0,0,0,0,0,5,10,10,20,5,10,10,20,5,10,0,0,0,0
13-14 mo female wf,0,0,60,90,60,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 mo female,10,20,60,90,60,90,0,0,10,20,0,0,0,0,5,10,0,5,0,0
16-18 mo female,10,20,10,20,20,30,0,0,10,20,0,0,0,0,5,10,0,5,0,0
19-20 mo female,0,5,0,5,5,10,0,0,0,5,0,0,0,0,5,10,5,8,0,0
21-24 mo female,10,20,5,10,10,20,0,0,10,20,0,0,0,0,5,20,0,5,0,0
25-26 mo female nf,0,0,0,0,0,0,0,0,5,10,0,0,0,0,5,10,0,0,0,0
25-26 mo female wf,0,0,60,90,60,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
>26 mo female (gest.period),0,10,5,10,10,20,0,0,0,0,0,0,0,0,5,10,0,5,0,0
>26 mo female (weaning period),0,10,60,90,60,90,0,0,0,0,0,0,0,0,5,10,0,5,0,0
>26 mo female (prerut period),0,10,10,20,20,30,0,0,0,0,0,0,0,0,5,10,0,5,0,0
>26 mo female (rut period),0,5,0,5,5,10,0,0,0,0,0,0,0,0,0,5,5,8,0,0
>14 mo male b-gr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
>14 mo male solitary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
